,Dataset,Training Size,Testing Size,Penalty,C,Solver,Accuracy Score
69,MultiClass,65 %,35 %,l2,1.0,saga,0.468
70,MultiClass Min Max Scalled,65 %,35 %,l2,1.0,saga,0.4662857142857143
71,MultiClass Standard Scalled,65 %,35 %,l2,1.0,saga,0.468
72,BinClass,65 %,35 %,l2,10.0,liblinear,0.8676190476190476
73,BinClass Min Max Scalled,65 %,35 %,l2,10.0,liblinear,0.8647619047619047
74,BinClass Standard Scalled,65 %,35 %,l2,10.0,liblinear,0.8676190476190476
75,MultiClass,65 %,35 %,l2,10.0,liblinear,0.45885714285714285
76,MultiClass Min Max Scalled,65 %,35 %,l2,10.0,liblinear,0.45885714285714285
77,MultiClass Standard Scalled,65 %,35 %,l2,10.0,liblinear,0.45885714285714285
78,BinClass,65 %,35 %,l2,10.0,saga,0.8676190476190476
79,BinClass Min Max Scalled,65 %,35 %,l2,10.0,saga,0.8571428571428571
80,BinClass Standard Scalled,65 %,35 %,l2,10.0,saga,0.8676190476190476
81,MultiClass,65 %,35 %,l2,10.0,saga,0.468
82,MultiClass Min Max Scalled,65 %,35 %,l2,10.0,saga,0.4662857142857143
83,MultiClass Standard Scalled,65 %,35 %,l2,10.0,saga,0.4685714285714286
84,BinClass,65 %,35 %,l2,50.0,liblinear,0.8676190476190476
85,BinClass Min Max Scalled,65 %,35 %,l2,50.0,liblinear,0.8657142857142858
86,BinClass Standard Scalled,65 %,35 %,l2,50.0,liblinear,0.8676190476190476
87,MultiClass,65 %,35 %,l2,50.0,liblinear,0.45885714285714285
88,MultiClass Min Max Scalled,65 %,35 %,l2,50.0,liblinear,0.45885714285714285
89,MultiClass Standard Scalled,65 %,35 %,l2,50.0,liblinear,0.45885714285714285
90,BinClass,65 %,35 %,l2,50.0,saga,0.8676190476190476
91,BinClass Min Max Scalled,65 %,35 %,l2,50.0,saga,0.8571428571428571
92,BinClass Standard Scalled,65 %,35 %,l2,50.0,saga,0.8676190476190476
93,MultiClass,65 %,35 %,l2,50.0,saga,0.468
94,MultiClass Min Max Scalled,65 %,35 %,l2,50.0,saga,0.4662857142857143
95,MultiClass Standard Scalled,65 %,35 %,l2,50.0,saga,0.4685714285714286
96,BinClass,80 %,20 %,l1,0.1,liblinear,0.8533333333333334
97,BinClass Min Max Scalled,80 %,20 %,l1,0.1,liblinear,0.835
98,BinClass Standard Scalled,80 %,20 %,l1,0.1,liblinear,0.85
99,MultiClass,80 %,20 %,l1,0.1,liblinear,0.469
100,MultiClass Min Max Scalled,80 %,20 %,l1,0.1,liblinear,0.474
101,MultiClass Standard Scalled,80 %,20 %,l1,0.1,liblinear,0.474
102,BinClass,80 %,20 %,l1,0.1,saga,0.845
103,BinClass Min Max Scalled,80 %,20 %,l1,0.1,saga,0.8266666666666667
104,BinClass Standard Scalled,80 %,20 %,l1,0.1,saga,0.845
105,MultiClass,80 %,20 %,l1,0.1,saga,0.474
106,MultiClass Min Max Scalled,80 %,20 %,l1,0.1,saga,0.477
107,MultiClass Standard Scalled,80 %,20 %,l1,0.1,saga,0.471
108,BinClass,80 %,20 %,l1,1.0,liblinear,0.8516666666666667
109,BinClass Min Max Scalled,80 %,20 %,l1,1.0,liblinear,0.8516666666666667
